,loss,mse,mae,mape,rmse
187,0.02570161037147045,0.00031936803134158254,0.008732084184885025,2511493.25,0.017870871350169182
188,0.02560223825275898,0.000306714850012213,0.008386967703700066,2452399.0,0.017513277009129524
189,0.02550991252064705,0.00031315363594330847,0.008626025170087814,2541461.5,0.01769614778459072
190,0.025422880426049232,0.000327535584801808,0.008940167725086212,2580196.5,0.01809794455766678
191,0.025322580710053444,0.0003082757175434381,0.00847028847783804,2533253.5,0.01755778305232525
192,0.025229744613170624,0.0003052637621294707,0.008303736336529255,2417060.25,0.01747179962694645
193,0.02513331174850464,0.00030117068672552705,0.008180491626262665,2386929.75,0.017354270443320274
194,0.0250503309071064,0.000322959094773978,0.008889301680028439,2525542.0,0.017971063032746315
195,0.02495475858449936,0.00031460216268897057,0.008676690980792046,2520670.0,0.017737027257680893
196,0.024856414645910263,0.00029918289510533214,0.008258577436208725,2398376.0,0.01729690469801426
197,0.024777250364422798,0.00032368284882977605,0.008773064240813255,2473270.0,0.017991188913583755
198,0.02467592991888523,0.0003027522179763764,0.008456677198410034,2495619.75,0.017399776726961136
199,0.024588637053966522,0.000305680267047137,0.008448811247944832,2471962.0,0.01748371496796608
200,0.024488788098096848,0.0002819151268340647,0.00776452012360096,2317448.5,0.016790328547358513
201,0.02440505474805832,0.0002984754100907594,0.008252480067312717,2417291.5,0.017276441678404808
202,0.024323342368006706,0.00031986364047043025,0.008814321830868721,2555675.5,0.01788473129272461
203,0.024226317182183266,0.0003002005396410823,0.00842244178056717,2489352.0,0.017326295375823975
204,0.024138465523719788,0.0002928097965195775,0.008134400472044945,2363804.25,0.017111685127019882
205,0.024055756628513336,0.0002991361543536186,0.008484208956360817,2481109.25,0.017295552417635918
206,0.023965615779161453,0.0002892499614972621,0.008119123056530952,2393895.0,0.01700735092163086
207,0.023881666362285614,0.0002918461395893246,0.008255252614617348,2392909.25,0.017083505168557167
208,0.023799913004040718,0.00029916688799858093,0.008244072087109089,2403237.75,0.0172964408993721
209,0.023723477497696877,0.0003132761630695313,0.008854676969349384,2604329.0,0.017699608579277992
210,0.023626258596777916,0.00028190427110530436,0.007931205444037914,2335093.75,0.016790004447102547
211,0.023540882393717766,0.00027968009817413986,0.007928997278213501,2345568.5,0.016723638400435448
212,0.023455705493688583,0.00028187743737362325,0.007995436899363995,2361087.25,0.016789205372333527
213,0.023380091413855553,0.0003023918834514916,0.008588227443397045,2467110.25,0.017389418557286263
214,0.023283427581191063,0.000274598685791716,0.007811638526618481,2378991.0,0.01657101884484291
215,0.023203633725643158,0.0002833334438037127,0.007995990104973316,2351960.25,0.016832511872053146
216,0.023115549236536026,0.000278590276138857,0.007982367649674416,2356695.25,0.016691023483872414
217,0.02302868478000164,0.0002756417088676244,0.007750652264803648,2309400.5,0.01660246029496193
218,0.022951854392886162,0.0002920056867878884,0.008339202962815762,2462522.75,0.01708817295730114
219,0.022860804572701454,0.00027116460842080414,0.007837170735001564,2339555.5,0.016467075794935226
220,0.022778525948524475,0.0002707900130189955,0.007809413596987724,2305968.5,0.016455698758363724
221,0.022697405889630318,0.0002750844578258693,0.007852134294807911,2276482.5,0.01658567041158676
